perf_counter_ns,unix_s,phase,board_input_power_w,board_input_current_a,board_input_voltage_v,read_duration_ns
2842977803800,1788986003.5720189,baseline,14.437,1.207,11.966,1353140
2842987805790,1788986003.5820217,baseline,14.425,1.206,11.966,1353800
2842997804710,1788986003.5920184,baseline,14.425,1.206,11.966,1351810
2843007805070,1788986003.6020246,baseline,14.437,1.206,11.966,1357420
2843017804980,1788986003.612023,baseline,14.437,1.206,11.966,1356240
2843027804560,1788986003.6220212,baseline,14.45,1.208,11.966,1354480
2843037804320,1788986003.6320188,baseline,14.425,1.205,11.966,1352120
2843047805110,1788986003.642024,baseline,14.437,1.207,11.966,1356540
2843057805540,1788986003.6520214,baseline,14.425,1.206,11.967,1353960
2843067805020,1788986003.6620247,baseline,14.45,1.206,11.966,1357590
2843077805550,1788986003.6720195,baseline,14.45,1.207,11.967,1351840
2843087804400,1788986003.6820183,baseline,14.425,1.205,11.966,1351770
2843097804960,1788986003.6920195,baseline,14.437,1.207,11.967,1352440
2843107804920,1788986003.7020192,baseline,14.412,1.205,11.966,1352420
