passage,samples,accelerator_mean_ms,device_call_mean_ms,application_e2e_mean_ms,passage_duration_ms,passage_throughput_inf_s
2907,30,0.17616099999999996,0.48386999999999997,0.686841,21.41408,1400.9474140378668
2908,30,0.17598699999999998,0.4838990000000001,0.6868940000000001,21.44406,1398.9888108874904
2909,30,0.17732566666666666,0.4835133333333334,0.6864546666666668,21.42231,1400.4091995681138
2910,30,0.18201266666666666,0.49751066666666666,0.7036206666666669,21.93154,1367.8929979381294
2911,30,0.17677199999999998,0.4831656666666666,0.6866733333333334,21.41203,1401.0815415446364
2912,30,0.17680566666666667,0.48354833333333336,0.686878,21.42049,1400.5281858631618
2913,30,0.17666633333333334,0.48305366666666677,0.6863189999999998,21.40023,1401.8540922223733
2914,30,0.18251,0.49493899999999996,0.7011093333333331,21.8765,1371.3345370603158
2915,30,0.17581,0.48422400000000004,0.6870706666666667,21.44372,1399.010992495705
2916,30,0.17643233333333327,0.4824176666666666,0.6856240000000001,21.3825,1403.0164854437041
2917,30,0.17598700000000003,0.48265299999999994,0.6854149999999998,21.38879,1402.6038873634272
2918,30,0.1770026666666667,0.4840153333333334,0.6869519999999999,21.4226,1400.390242080793
2919,30,0.183139,0.4968363333333334,0.7026496666666665,21.9034,1369.6503739145521
2920,30,0.17751599999999998,0.4835183333333334,0.6868563333333332,21.46318,1397.7425525947228
2921,30,0.17638866666666667,0.482454,0.6856193333333332,21.37951,1403.2127022555708
2922,30,0.17561100000000002,0.4826206666666666,0.6851336666666666,21.36122,1404.4141673556098
2923,30,0.18304633333333337,0.497693,0.703773,21.9315,1367.8954927843513
2924,30,0.17580866666666667,0.482519,0.6851766666666665,21.37321,1403.6263153733107
2925,30,0.17614999999999997,0.48210233333333335,0.6858166666666666,21.40988,1401.222239452066
2926,30,0.17642466666666667,0.48203033333333334,0.6843373333333334,21.35717,1404.6804890348299
2927,30,0.17577633333333334,0.48121733333333344,0.6849236666666665,21.35551,1404.789677230841
2928,30,0.18258000000000002,0.49467233333333327,0.6998243333333332,21.83612,1373.8704495120928
2929,30,0.17595100000000002,0.4820893333333333,0.6856880000000001,21.38564,1402.8104840444335
2930,30,0.17595033333333332,0.48174600000000006,0.6849476666666665,21.37983,1403.1916998404572
2931,30,0.1759893333333333,0.48322466666666664,0.6857716666666664,21.40804,1401.342673126545
