epoch_s,monotonic_s,system_percent,process_percent,frequency_mhz,package_temp_c,rss_mib
1788467042.6932404,100362.868107638,11.4,291.7,2.0027083333333335,70.0,795.4140625
1788467042.8423972,100363.017264529,11.0,295.6,2.338333333333334,70.0,795.4140625
1788467042.9836962,100363.158563323,10.1,283.2,2.692666666666666,70.0,795.4140625
1788467043.1230397,100363.297906787,12.0,279.9,3.5666249999999984,70.0,795.4140625
1788467043.2575877,100363.432454644,12.5,289.9,3.5664166666666652,70.0,795.4140625
1788467043.398722,100363.573589224,12.6,290.5,2.537541666666667,74.0,795.4140625
1788467043.588003,100363.762869953,11.2,279.8,3.525375,74.0,795.4140625
1788467043.7222984,100363.897165244,10.6,282.9,3.4879583333333337,74.0,795.4140625
1788467044.0760717,100364.250938878,11.3,279.9,1.9997916666666666,74.0,795.4140625
1788467044.216887,100364.391753983,12.3,284.2,3.566458333333332,74.0,795.4140625
1788467044.3527222,100364.52758933,13.3,294.5,2.665458333333333,74.0,795.4140625
1788467044.4889982,100364.663865132,12.7,293.6,3.566624999999999,71.0,795.4140625
1788467044.6772156,100364.852082491,12.5,286.9,3.566624999999999,71.0,795.4140625
1788467044.814952,100364.989819099,12.2,283.1,2.3372500000000005,71.0,795.4140625
1788467044.9640667,100365.138934028,13.8,288.4,3.331000000000001,71.0,795.4140625
1788467045.1047924,100365.279659323,11.5,291.0,3.5662916666666664,71.0,795.4140625
1788467045.2405272,100365.415394151,12.8,287.7,3.188833333333333,71.0,795.4140625
1788467045.3890812,100365.563948488,12.3,296.1,2.5102500000000005,71.0,795.4140625
1788467045.5272715,100365.702138438,11.5,289.4,2.364333333333333,71.0,795.4140625
1788467045.662704,100365.837570991,13.7,295.4,3.561291666666666,68.0,795.4140625
1788467045.873371,100366.048237864,13.0,289.3,3.5669583333333326,68.0,795.4140625
1788467046.038052,100366.212919347,11.9,285.6,1.9995416666666668,68.0,795.4140625
1788467046.20315,100366.378017075,10.5,284.8,3.4385,68.0,795.4140625
1788467046.3692977,100366.544164666,13.4,288.9,3.566541666666666,68.0,795.4140625
1788467046.529489,100366.70435646,10.3,287.1,2.6137083333333333,68.0,795.4140625
1788467046.6927269,100366.867593732,12.9,287.9,3.0,68.0,795.4140625
1788467046.8546793,100367.029546569,11.8,284.0,2.7024166666666676,70.0,795.4140625
1788467047.0706985,100367.245565692,12.1,287.0,2.317791666666667,70.0,795.41796875
1788467047.2377238,100367.412591072,13.8,287.5,2.959208333333334,70.0,795.41796875
1788467047.4022667,100367.577133753,14.1,291.4,3.5665416666666654,70.0,795.41796875
1788467047.5634818,100367.738348738,11.5,291.5,3.566458333333331,70.0,795.421875
1788467047.7262075,100367.901074461,13.2,282.6,3.1696666666666675,70.0,795.421875
1788467047.8985448,100368.073411973,10.3,284.7,2.7800000000000007,70.0,795.421875
1788467048.037053,100368.21192038,10.9,288.6,2.798833333333334,69.0,795.421875
1788467048.2189987,100368.393865975,13.5,291.2,3.553291666666666,69.0,795.421875
1788467048.367298,100368.542164695,11.3,290.3,3.566458333333332,69.0,795.421875
1788467048.5034592,100368.678326342,11.6,286.4,3.5664999999999982,69.0,795.421875
1788467048.6448233,100368.81969034,9.8,275.9,3.566124999999999,69.0,795.421875
1788467048.7791328,100368.953999858,14.2,297.8,3.566249999999999,69.0,795.421875
1788467048.9144478,100369.089315005,12.2,288.2,2.9777500000000003,69.0,795.421875
1788467049.0537736,100369.228640723,10.8,287.2,3.5662083333333325,69.0,795.421875
1788467049.1919994,100369.366866498,13.9,296.2,3.5665416666666654,70.0,795.42578125
1788467049.370706,100369.545573199,10.5,285.4,3.5662083333333334,70.0,795.4375
1788467049.5100255,100369.684892577,12.2,280.3,2.669333333333334,70.0,795.4375
1788467049.6524901,100369.827357208,13.4,301.8,3.523875,70.0,795.4375
1788467049.7902567,100369.965123758,14.2,282.5,2.7057916666666677,70.0,795.44140625
1788467049.9423323,100370.117199264,10.3,296.0,2.534875,70.0,795.44140625
1788467050.2682636,100370.443130912,13.1,282.3,3.1919583333333335,70.0,795.44140625
1788467050.4757307,100370.650597685,11.6,289.5,2.539166666666667,70.0,795.44140625
1788467050.6441808,100370.819047704,11.2,285.0,3.0347916666666657,70.0,795.44140625
1788467050.8128712,100370.987738252,12.7,290.5,3.499791666666668,70.0,795.44140625
1788467050.9596043,100371.134471609,12.0,299.7,2.5798333333333336,70.0,795.44140625
1788467051.1128356,100371.287702731,12.5,293.8,2.8173333333333335,70.0,795.44140625
1788467051.2495499,100371.424416905,12.4,285.3,2.4131249999999995,70.0,795.44140625
1788467051.3964643,100371.571331373,11.1,285.9,3.566291666666666,71.0,795.44140625
1788467051.5751638,100371.750030737,12.0,291.0,3.3406250000000006,71.0,795.44140625
1788467051.7144365,100371.889303751,12.8,287.2,3.5664166666666657,71.0,795.44140625
1788467051.85799,100372.032857088,10.0,285.5,3.5662083333333325,71.0,795.44140625
1788467051.9954762,100372.170343359,13.5,305.5,2.377916666666667,71.0,795.44140625
1788467052.139807,100372.314674194,12.9,290.5,2.78875,71.0,795.44140625
1788467052.2845278,100372.459394946,10.4,276.8,3.004791666666666,71.0,795.44140625
1788467052.418762,100372.593628994,13.1,290.6,2.8585833333333337,71.0,795.44140625
1788467052.556956,100372.731823411,11.5,289.4,2.552166666666666,71.0,795.44140625
1788467052.751133,100372.925999964,12.9,293.6,2.7553749999999995,71.0,795.44140625
1788467052.8906002,100373.065467391,10.8,278.9,2.0502500000000006,71.0,795.44140625
