cycle,inferences,correct_unique,latency_mean_ms,latency_median_ms,latency_std_sample_ms,latency_p95_ms,latency_min_ms,latency_max_ms,cycle_duration_s,throughput_fps
212,30,29,0.1680874,0.15661049999999999,0.02888224374653886,0.23031,0.146944,0.26895,0.008222594,3648.483678021802
213,30,29,0.16706683333333333,0.1572065,0.0319203232246224,0.22698784999999994,0.144726,0.296302,0.007979025,3759.857877372235
214,30,29,0.17385266666666663,0.1566005,0.04456095823687486,0.2791693999999998,0.144445,0.320753,0.008234315,3643.290304050792
215,30,29,0.17830579999999996,0.158324,0.0367169204876519,0.24727534999999998,0.147035,0.256997,0.008364927,3586.40308516739
216,30,29,0.1684323666666667,0.15526600000000002,0.034800403986441596,0.23119354999999997,0.149453,0.318672,0.008207307,3655.279374830258
217,30,29,0.16399029999999998,0.15778399999999998,0.023116335578159203,0.22019669999999994,0.14625,0.240247,0.007973019,3762.690142843006
218,30,29,0.16294773333333332,0.153967,0.022182701708738064,0.2152858,0.145488,0.22533,0.007884489,3804.939039169184
219,30,29,0.1551132666666667,0.1516845,0.011006971981535104,0.17351755,0.144309,0.199515,0.00764772,3922.73775713546
220,30,29,0.15795443333333334,0.1554325,0.012479331612526462,0.17732244999999996,0.145793,0.209933,0.007864965,3814.3844251055157
221,30,29,0.1633443333333333,0.155016,0.027397217836769523,0.21911444999999988,0.142202,0.270299,0.007884669,3804.8521757856925
222,30,29,0.16758923333333334,0.15638000000000002,0.0307260662851181,0.2213049,0.145111,0.287095,0.007965372,3766.3024401120247
223,30,29,0.15211713333333335,0.14942650000000002,0.008157372949049531,0.16920529999999995,0.145288,0.180775,0.007476449,4012.600099325228
224,30,29,0.16212966666666664,0.153971,0.02373750283373567,0.22041459999999993,0.146052,0.24483,0.008079983,3712.879098879292
225,30,29,0.16658339999999996,0.1596745,0.023726746006171584,0.22266104999999997,0.145791,0.237813,0.007928993,3783.5826062653855
226,30,29,0.16311890000000004,0.15223350000000002,0.031719233647686876,0.2295145999999999,0.14549,0.287106,0.007889645,3802.4524550851143
227,30,29,0.17615119999999998,0.1552865,0.042524396268008566,0.25815894999999994,0.145823,0.312186,0.008364737,3586.4845481692964
228,30,29,0.18205993333333328,0.155638,0.0462297942426693,0.2588334,0.144884,0.290745,0.008489322,3533.8511131984387
229,30,29,0.16540556666666667,0.15701900000000002,0.022748720932112346,0.21850885,0.145665,0.231869,0.007883465,3805.433270776239
230,30,29,0.15383503333333334,0.1508645,0.012289933218536704,0.16554974999999997,0.143319,0.2127,0.00768642,3902.9873465150226
231,30,29,0.15446053333333334,0.15044249999999998,0.01625532345849291,0.17173949999999996,0.143452,0.232474,0.007807127,3842.64275449855
232,30,29,0.15765303333333333,0.1525125,0.014367770075063319,0.19185544999999993,0.143641,0.203084,0.007714002,3889.0319188405706
233,30,29,0.15517086666666666,0.151574,0.012372910818378196,0.17854154999999994,0.145039,0.202173,0.007660818,3916.030899050206
234,30,29,0.1672471,0.154901,0.03204749631336545,0.24840439999999997,0.145323,0.258969,0.008127098,3691.3545277785506
235,30,29,0.15988349999999996,0.1537895,0.017446996189938373,0.19144259999999994,0.147346,0.232131,0.007783859,3854.129423464634
236,30,29,0.16006986666666664,0.1513805,0.029467905747677808,0.20175689999999996,0.144783,0.297927,0.007845303,3823.9440847600154
237,30,29,0.15581966666666666,0.1519085,0.01126577394783324,0.17414119999999997,0.146539,0.202763,0.007661301,3915.7840163178553
238,30,29,0.16924383333333332,0.158702,0.030949239078255034,0.22049799999999994,0.146073,0.292937,0.008157752,3677.4836989405903
239,30,29,0.18686816666666667,0.152333,0.08907671525813107,0.3031353,0.145613,0.574667,0.008660142,3464.1464308552913
240,30,29,0.1573550333333333,0.15217350000000002,0.016414369530012907,0.19371334999999995,0.14318,0.215183,0.007510994,3994.1451158129003
241,30,29,0.1541432666666667,0.152255,0.011116473671625998,0.16857285,0.144495,0.201617,0.007556632,3970.0226238355926
242,30,29,0.16457889999999997,0.155179,0.024864175034818047,0.22145284999999992,0.144304,0.245469,0.007876883,3808.6131278070275
243,30,29,0.16305960000000005,0.15508,0.036140649844929366,0.19380909999999993,0.142889,0.341357,0.008083885,3711.0869340669738
244,30,29,0.15507820000000005,0.15093099999999998,0.011077819962927478,0.17073095,0.145514,0.202055,0.007584462,3955.4552452105368
245,30,29,0.16387783333333336,0.153462,0.034508984992001154,0.22464399999999995,0.145228,0.316887,0.007861053,3816.2826277853615
246,30,29,0.1717206666666666,0.1569055,0.0356842763647823,0.23390159999999996,0.145284,0.299724,0.008480834,3537.3879502888517
247,30,29,0.16768603333333335,0.1530645,0.04498385012077675,0.2555680499999997,0.147191,0.353001,0.008187603,3664.0760427685614
248,30,29,0.1560846,0.1516885,0.014295370937764285,0.17161919999999997,0.147444,0.222793,0.007652883,3920.091291085987
249,30,29,0.15517353333333334,0.149912,0.014660946320619686,0.18498984999999993,0.144482,0.211167,0.007556411,3970.1387338512955
250,30,29,0.16474453333333333,0.155752,0.023868450787935355,0.21311634999999998,0.145583,0.25339,0.007899502,3797.707754235647
251,30,29,0.15787253333333337,0.15139750000000002,0.017765809982278793,0.19710774999999997,0.143324,0.223617,0.007799389,3846.455151807404
252,30,29,0.1806859666666667,0.1553715,0.055287305818994194,0.3063898,0.143821,0.322243,0.008381352,3579.374783447826
253,30,29,0.16813726666666667,0.155245,0.032878246107401324,0.22676329999999995,0.142679,0.297963,0.008144916,3683.2792382389207
254,30,29,0.1806318,0.16344599999999998,0.036644951546163755,0.26465069999999996,0.150905,0.272951,0.008321508,3605.115803529841
255,30,29,0.15960326666666666,0.1523505,0.01656137597343087,0.19834129999999991,0.144027,0.210526,0.007816664,3837.9544010078985
256,30,29,0.17101573333333336,0.15779300000000002,0.031452487611648774,0.24321614999999996,0.147049,0.260184,0.00812273,3693.3395545586277
257,30,29,0.15872623333333333,0.15392050000000002,0.013799112571874484,0.19019989999999995,0.146318,0.202992,0.007734198,3878.8766462922204
258,30,29,0.16181376666666664,0.152979,0.019509517098750467,0.20596524999999996,0.147304,0.225081,0.007813268,3839.62254974487
259,30,29,0.16098990000000005,0.15808650000000002,0.008917535388404592,0.17894679999999996,0.152034,0.191284,0.007939329,3778.6568613040217
260,30,29,0.17817076666666667,0.164823,0.04031711475692412,0.26422245,0.149627,0.327882,0.008718281,3441.045316158082
261,30,29,0.16755123333333338,0.16126649999999998,0.015527774711638572,0.20601244999999996,0.151852,0.211594,0.008062402,3720.975461159094
262,30,29,0.1620745333333333,0.1591375,0.011362888613234824,0.17888425,0.149653,0.207292,0.007858595,3817.4762791567705
263,30,29,0.16424176666666665,0.160076,0.01604708240896861,0.18173,0.150183,0.235371,0.007878691,3807.7391282384347
264,30,29,0.17009636666666667,0.1594125,0.032404294149752405,0.24033254999999987,0.151002,0.295751,0.008105384,3701.2435191225977
